Projection,Dimensions,Silhouette,ARI,NMI
UMAP,2D,0.37765541672706604,0.031486414877824116,0.1747948667896562
t-SNE,3D,0.2962924540042877,0.030836977415524748,0.17406951130301138
t-SNE,2D,0.37288928031921387,0.02963231660903082,0.17525191349941316
UMAP,3D,0.3311789929866791,0.028566578755251947,0.17267153676279548
PCA,3D,0.23194742476371338,0.017335136592352945,0.11996092065372471
PCA,2D,0.32726415202570663,0.014333783125717005,0.11133743969590933
